t,absZ,N
20251208202512082.1682689927261712525346816425836186936759730770063470117747783660888671875,3.529049430863448512660774725791533683379001803053005319578593292532700158354342696632760956881869063e-12,410111433661492638289178226853952.94998931884765625
20251208202512082.3585515116748836958147738965502031305287999884967575781047344207763671875,2.862110356243931040655033419107192390120865585400060069097455823188197554772699520751560141318403652e-12,410111433661492646389661507858785.8199863433837890625
20251208202512082.455624584560495696807661802625426250568096975257503800094127655029296875,7.782362966137374826568019130048913888745153734068123726882901265160995703091425620520258342460717671e-13,410111433661492649933622943298400.2356166839599609375
20251208202512082.7834465940623798793877087079146233350446237864161957986652851104736328125,4.345522182384885479524887487664610373401409654028907135357325481279890782011409408713939646340396195e-13,410111433661492663603188479994055.8977813720703125
20251208202512083.025981699336319475129520714033574957380068326528999023139476776123046875,4.052121252137666364690425520966979147894851314075403085252460003340905373654941266879365817377145476e-13,410111433661492673222512376187295.2277736663818359375
20251208202512083.1712977334653010258438954926452947591375419733594753779470920562744140625,0.1930628514654321849972273264853613508800087921536170323763272618618959232706700311887329166160576222,410111433661492678791594631878118.0630855560302734375
20251208202512083.25401221984747828627489068587831655410269604544737376272678375244140625,1.314615404520138417231808809566724754020763073318391355434187698164601002413562513142003453786577083e-12,410111433661492682335556067317732.6187038421630859375
20251208202512083.43467792149962536003374191130588233278331244946457445621490478515625,1.372231323860626954474639072250378958034208809096005387223656767600701819688754316551833681292471567e-12,410111433661492689929759143259763.8421344757080078125
20251208202512083.6123879674977203162996882191445972842824829740493441931903362274169921875,1.644335973694284026090706639750763715664116271595642356675420512593790973848164541776251112992213166e-18,410111433661492697017682014138993.0496368408203125
20251208202512083.7760747872257431780538143424271781134482495190241024829447269439697265625,5.58960843295985680716861322618946457045505543885445409355976543743368011241285896896068430966808549e-13,410111433661492703599324679955420.227771759033203125
20251208202512083.968001691082562327241127430005156184744663505625794641673564910888671875,1.399275320171872953250701011320133379048464908717676812897317621960286853360957510917605799150020829e-13,410111433661492711193527755897451.648097991943359375
20251208202512084.1947146195717356620945334323030152801070613577394396997988224029541015625,7.849431447418396439318956578981968778395834878372784271492243515365924048511432476577485972679681936e-13,410111433661492720812851652090691.5362186431884765625
20251208202512084.24367255615740983628526413937685768384966422672732733190059661865234375,5.230782535134934267157187457487886577493678002436594754303440044567254063323234699398186445945535539e-12,410111433661492722837972472341899.95746612548828125
20251208202512084.4950774247797618705660715432664668866902246691097388975322246551513671875,2.338438037502526512228604036671053188973977054802269968109763595715614417140810154971289173964077435e-12,410111433661492732963576573597942.0886974334716796875
20251208202512084.6700276962050608321641503858988146713482336735978606157004833221435546875,6.332832707304079334096639097856951571709037376561875726814562845682397875049550575945079156775507911e-12,410111433661492740051499444477171.66806793212890625
20251208202512084.865042096779087930023029111401174084949872167271678335964679718017578125,6.115178064960210514277844833453848910379399698241554451774524058733021338922590506964583299820414908e-13,410111433661492747645702520419203.42588043212890625
20251208202512084.98902623839175107296487341932388070997461682054563425481319427490234375,3.789296712487262900553790329345459109073581121410803061765063017712047121412907772731656907971853343e-16,410111433661492752708504571047224.6446380615234375
20251208202512085.1091769208925555350280885410292792958575347483929363079369068145751953125,7.99932759206706626457997808856462991318650379217775617205413950788218768982474719548680236469451188e-13,410111433661492757771306621675245.8946380615234375
20251208202512085.382744075968031683961309089296760899134852706993115134537220001220703125,5.685788478676703561591398467383621030835715908479281053911450392047908321756709497256691236005687884e-12,410111433661492768909471133056892.7133693695068359375
20251208202512085.529458445271573728225239919946421007779235878842882812023162841796875,9.678104449952617380650314158115654760889739818121834229399667557788433950058070467294276360836757789e-13,410111433661492774478553388747716.19837188720703125
20251208202512085.6813165623114253530506818464971240112415529210920794866979122161865234375,1.338734925832423433428699703351997409244224229248839218129346459520193833103641789820589802495476306e-13,410111433661492780553915849501341.859619140625
20251208202512085.8613500842588112245710451632917104003439590087509714066982269287109375,1.003751537453786241055103785873760207055192214118025436078496621170549023752785042018021224863311147e-14,410111433661492788148118925443373.992427825927734375
20251208202512086.040712290292183085241921902696672630472818354974151588976383209228515625,8.724246459891834939706769200690250934531975366960680209914306887090385766083699923818632615546420084e-16,410111433661492795236041796322604.0486850738525390625
20251208202512086.2178574469396879941861255259249151305933622779775760136544704437255859375,1.432168053504434411734460369749452692584619624664106522883049657684722467154782308878992885814440683e-12,410111433661492802323964667201834.16619873046875
20251208202512086.4462977334653010106513219682790316600318192286067642271518707275390625,0.1291655405271499605040201646629840648273371144001991634221219521675441675989338986615538769353594972,410111433661492811437008358332272.967437744140625
20251208202512086.568539679964331271710005263745647818840467380141490139067173004150390625,1.179513922052182382792531393168168037917731080046660539769071916909764656230896981786390211033310749e-12,410111433661492816499810408960294.5799274444580078125
20251208202512086.654036036553214776614576748199787747939382143158582039177417755126953125,7.802276149717087848017418895841873358076914711523965999910749765221961989859658998074370007264066729e-12,410111433661492820043771844399909.73055267333984375
20251208202512086.9750024247794528763624564743524303356281279775430448353290557861328125,3.599258504401403275807970144749897462477661101941494729905343999852383474634217584374847520231610609e-11,410111433661492833207057176032766.061191558837890625
20251208202512087.17279718389649852325126310088887482407926654559560120105743408203125,1.411960812326062690038966017948317298003307623982807175680680766855991395131362489863413589574747675e-12,410111433661492841307540457037600.856204986572265625
20251208202512087.292048522976312134238899561136139360062458081301883794367313385009765625,2.176990887508097463859257953989282879247769819151001271951690024270483934677910830581253759374860124e-12,410111433661492845864062302602820.4733943939208984375
20251208202512087.4279162081021389625305521460236872488547277271209168247878551483154296875,5.134605164211988319074592272039568938643944695508351344062968121669404374467240915102996673402557803e-13,410111433661492851433144558293644.4809055328369140625
20251208202512087.502784614063941889236097277705341002107530812281765975058078765869140625,5.462432927519294465383644574889512435600834982355726107739868974394321809947613603576969075470426418e-12,410111433661492854470825788670457.59653472900390625
20251208202512087.7105912644898272229227916471356978067586140923594939522445201873779296875,1.041496579455859694171625449758841846411732667101924990992230314690323336807812247575247451003566113e-12,410111433661492863077589274738094.7893505096435546875
